Avatar,Name,Type,Attribut,Weapon,Weapon Power,Weapon Substat,Weapon Effect,Artefact 1,Artefact 1 Effect,Artefact 2,Artefact 2 Effect,Artefact 3,Artefact 3 Effect
sandra,Sandra,Defensive,Magical,sandra_weapon,600,Magical Defense : 150,Grants permanent 10% Magical defense increase when getting hit. Maximum 100%,sandra_artefact1,Normal attack's power increase by 50%,sandra_artefact2,Skill attack's power increase by 50%,sandra_artefact3,Special attack's power increase by 30%. Add another attack to the Special  (75 power) 
seth,Seth,Defensive,Physical,seth_weapon,600,Physical Defense : 150,Grants permanent 10% Physical defense increase when getting hit. Maximum 100%,seth_artefact1,Normal attack's power increase by 50%,seth_artefact2,Skill attack's power increase by 50%,seth_artefact3,Special attack's power increase by 30%. 35% chance to disable heal for 3 turns to the target
edea,Edea,Defensive,Physical,edea_weapon,600,Physical Defense : 150,Heal up to 25% at your turn,edea_artefact1,Normal attack's power increase by 30%. 30% chance to reduce Physical defense for 4 turns,edea_artefact2,Skill attack's power increase by 30%. 50% chance to increase Physical defense for 4 turns,edea_artefact3,Special attack's power increase by 30%. 50% chance to increase Physical attack for 4 turns
liz,Liz,Defensive,Magical,liz_weapon,600,Magical Defense : 150,30% to remove 1 shield from enemy when getting hit,liz_artefact1,Normal attack's power increase by 30%. 30% chance to heal yourself (50 power),liz_artefact2,Skill attack's power increase by 30%. 50% chance to increase Magical defense for 4 turns,liz_artefact3,Special attack's power increase by 50%.
heinkel,Heinkel,Defensive,Physical,heinkel_weapon,600,Physical Defense : 150,30% to remove 1 shield from enemy when getting hit,heinkel_artefact1,Normal attack's power increase by 50%,heinkel_artefact2,Reduce Skill cost by 8 MP. 30% chance to grant Fumbaru (survive lethal damage with 1 HP),heinkel_artefact3,Special attack's power increase by 50%.
steel,Steel,Close Range,Physical,steel_weapon,750,-,Remove 20% of enemies shield on Wave's start,steel_artefact1,Normal attack's power increase by 30%. 30% chance to recover 10% of MP,steel_artefact2,Skill attack's power increase by 30%. 50% chance to increase Speed for 4 turns,steel_artefact3,Special attack's power increase by 50%.
adelle,Adelle,Close Range,Magical,adelle_weapon,750,-,Attack with a power of 150 when the target is debuff by Normal or Special attack,adelle_artefact1,Normal attack's power increase by 50%,adelle_artefact2,Increase Skill's recovery by 30%. 30% chance to recover 10% of shield for the row of allies,adelle_artefact3,Special attack's power increase by 30%. Add another attack to the Special (power 75)
tiz,Tiz,Close Range,Physical,tiz_weapon,750,-,Attack an enemy with Light Wound on him at the beginning of your turn (power 100),tiz_artefact1,Normal attack's power increase by 30%. 20% chance to apply Light Wound,tiz_artefact2,Increase Skill's power by 30%. Skill apply Light Wound,tiz_artefact3,Special attack's power increase by 30%. 35% chance to reduce MP Consumption  for 3 turns
janne,Janne,Close Range,Physical,janne_weapon,750,-,Attack the enemy with highest HP at your turn (power 125),janne_artefact1,Normal attack's power increase by 30%. 50% chance to reduce 10% of enemy's power,janne_artefact2,Skill attack's power increase by 50%,janne_artefact3,Special attack's power increase by 50%
khint,Khint,Close Range,Magical,khint_weapon,750,-,Recover up to 25% of your MP at your turn,khint_artefact1,Normal attack's power increase by 30%. 30% chance to inflict Burn for 4 turns,khint_artefact2,Increase Skill's power by 30%. Apply Burn for 4 turns,khint_artefact3,Special attack's power increase by 30%. 50% chance to inflict Burn for 4 turns
